Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
AARSD1	HIST1H4A	0.319	0.007	0.141	0.007	0.106	0.425	core
AARSD1	HSPB1	0.4	0.065	0.001	0.012	0.464	0.189	core
AARSD1	IFNG	0.31	0.055	0.025	0.013	0.132	0.422	core
AARSD1	INS	0.323	0.004	0.242	0.005	0.037	0.373	core
AARSD1	RUVBL2	0.321	0.146	0.028	0.087	0.22	0.443	core
AARSD1	SERPINH1	0.344	0.101	0.014	0.005	0.474	0.127	core
AARSD1	TUBA1A	0.384	0.038	0.018	0.011	0.456	0.105	core
AARSD1	UBE2N	0.302	0.088	0.02	0.0	0.135	0.385	core
AASDH	DAB2	0.352	0.075	0.117	0.036	0.264	0.412	core
AASDH	FGA	0.303	0.02	0.081	0.036	0.237	0.258	core
AASDH	TNF	0.305	0.02	0.041	0.036	0.059	0.463	core
AASDHPPT	EGF	0.304	0.057	0.035	0.015	0.076	0.342	core
AASDHPPT	MRE11	0.339	0.378	0.433	0.078	0.047	0.454	core
AASDHPPT	NARS2	0.331	0.225	0.454	0.09	0.048	0.314	core
AASS	ADIPOQ	0.332	0.07	0.06	0.011	0.074	0.377	core
AASS	WNT3A	0.305	0.0	0.15	0.013	0.064	0.464	core
AATF	ABT1	0.317	0.457	0.018	0.418	0.376	0.255	core
AATF	BMS1	0.359	0.523	0.018	0.48	0.408	0.354	core
AATF	BOP1	0.34	0.466	0.061	0.352	0.387	0.342	core
AATF	BRIX1	0.337	0.459	0.16	0.522	0.411	0.268	core
AATF	BYSL	0.365	0.43	0.035	0.504	0.336	0.362	core
AATF	CCDC86	0.312	0.253	0.03	0.381	0.371	0.355	core
AATF	CCT8	0.341	0.271	0.11	0.004	0.289	0.422	core
AATF	CDK12	0.302	0.147	0.218	0.158	0.419	0.398	core
AATF	CEBPZ	0.371	0.432	0.126	0.19	0.408	0.295	core
AATF	CHEK2	0.392	0.163	0.026	0.087	0.486	0.141	core
AATF	CMSS1	0.397	0.558	0.057	0.036	0.179	0.375	core
AATF	CTNNBL1	0.322	0.312	0.188	0.008	0.4	0.391	core
AATF	DAP3	0.324	0.327	0.207	0.007	0.374	0.323	core
AATF	DCAF13	0.317	0.526	0.058	0.495	0.375	0.316	core
AATF	DDX10	0.324	0.452	0.136	0.57	0.364	0.292	core
AATF	DDX18	0.37	0.448	0.149	0.412	0.41	0.393	core
AATF	DDX21	0.349	0.477	0.078	0.13	0.392	0.266	core
AATF	DDX27	0.366	0.478	0.04	0.353	0.413	0.374	core
AATF	DDX31	0.336	0.282	0.142	0.393	0.415	0.314	core
AATF	DDX47	0.443	0.525	0.118	0.366	0.378	0.157	core
AATF	DDX49	0.391	0.48	0.038	0.495	0.166	0.312	core
AATF	DDX50	0.381	0.341	0.052	0.133	0.404	0.434	core
AATF	DDX51	0.324	0.466	0.072	0.351	0.383	0.25	core
AATF	DDX52	0.363	0.49	0.357	0.475	0.165	0.366	core
AATF	DDX54	0.37	0.394	0.205	0.352	0.404	0.387	core
AATF	DDX55	0.384	0.441	0.025	0.392	0.415	0.268	core
AATF	DDX56	0.318	0.419	0.179	0.413	0.373	0.303	core
AATF	DHX8	0.324	0.213	0.022	0.009	0.253	0.449	core
AATF	DHX9	0.33	0.316	0.052	0.003	0.371	0.369	core
AATF	DHX15	0.394	0.315	0.031	0.5	0.345	0.333	core
AATF	DHX30	0.34	0.164	0.046	0.01	0.443	0.277	core
AATF	DHX33	0.353	0.458	0.021	0.008	0.287	0.318	core
AATF	DHX37	0.343	0.269	0.077	0.485	0.337	0.381	core
AATF	DIEXF	0.382	0.572	0.142	0.082	0.211	0.258	core
AATF	DIMT1	0.451	0.355	0.279	0.532	0.189	0.305	core
AATF	DKC1	0.383	0.279	0.011	0.511	0.408	0.298	core
AATF	DNTTIP2	0.42	0.543	0.051	0.093	0.228	0.352	core
AATF	EBNA1BP2	0.421	0.418	0.123	0.424	0.436	0.331	core
AATF	EFTUD2	0.423	0.365	0.002	0.087	0.275	0.504	core
AATF	EIF2S1	0.36	0.261	0.001	0.133	0.385	0.435	core
AATF	EIF3D	0.306	0.246	0.101	0.075	0.204	0.467	core
AATF	EIF4A3	0.319	0.325	0.002	0.353	0.272	0.406	core
AATF	EMG1	0.439	0.524	0.004	0.494	0.074	0.382	core
AATF	ESF1	0.384	0.568	0.035	0.552	0.381	0.301	core
AATF	FAM207A	0.358	0.555	0.307	0.036	0.169	0.236	core
AATF	FBL	0.36	0.421	0.026	0.461	0.288	0.327	core
AATF	FIP1L1	0.315	0.383	0.269	0.146	0.239	0.35	core
AATF	FTSJ3	0.353	0.276	0.252	0.371	0.439	0.338	core
AATF	GAR1	0.3	0.367	0.048	0.098	0.383	0.291	core
AATF	GART	0.3	0.385	0.033	0.092	0.237	0.348	core
AATF	GNL2	0.37	0.271	0.041	0.371	0.428	0.368	core
AATF	GNL3	0.333	0.453	0.109	0.373	0.398	0.232	core
AATF	GTPBP4	0.338	0.414	0.127	0.352	0.419	0.371	core
AATF	HBA2	0.309	0.02	0.008	0.036	0.228	0.281	core
AATF	HEATR1	0.384	0.557	0.126	0.266	0.231	0.33	core
AATF	HIPK2	0.43	0.042	0.011	0.114	0.519	0.125	core
AATF	HNRNPK	0.304	0.181	0.018	0.196	0.274	0.414	core
AATF	HNRNPU	0.362	0.19	0.06	0.007	0.405	0.416	core
AATF	HSPA1A	0.377	0.04	0.03	0.003	0.228	0.404	core
AATF	HSPA1B	0.313	0.139	0.115	0.16	0.233	0.425	core
AATF	HSPD1	0.325	0.399	0.06	0.015	0.31	0.356	core
AATF	IFNG	0.372	0.061	0.037	0.125	0.124	0.488	core
AATF	IK	0.339	0.411	0.046	0.012	0.227	0.408	core
AATF	ILF2	0.304	0.381	0.179	0.004	0.251	0.378	core
AATF	IMP3	0.406	0.572	0.064	0.501	0.396	0.268	core
AATF	IMP4	0.376	0.496	0.084	0.46	0.434	0.389	core
AATF	KRR1	0.355	0.457	0.13	0.517	0.406	0.252	core
AATF	LAS1L	0.332	0.419	0.004	0.076	0.179	0.398	core
AATF	LYAR	0.323	0.355	0.038	0.089	0.409	0.369	core
AATF	MAGED1	0.342	0.09	0.004	0.001	0.45	0.098	core
AATF	MAK16	0.348	0.387	0.086	0.384	0.245	0.287	core
AATF	MAPT	0.324	0.094	0.026	0.01	0.491	0.071	core
AATF	MDM2	0.47	0.04	0.061	0.119	0.477	0.149	core
AATF	MPHOSPH10	0.378	0.564	0.042	0.514	0.423	0.264	core
AATF	MRTO4	0.312	0.492	0.048	0.405	0.392	0.328	core
AATF	MYBBP1A	0.346	0.508	0.078	0.109	0.265	0.265	core
AATF	NAT10	0.397	0.505	0.286	0.585	0.421	0.337	core
AATF	NCL	0.377	0.43	0.08	0.353	0.413	0.438	core
AATF	NGDN	0.419	0.61	0.158	0.123	0.373	0.255	core
AATF	NIFK	0.319	0.467	0.206	0.388	0.177	0.326	core
AATF	NIP7	0.364	0.484	0.125	0.005	0.376	0.327	core
AATF	NOB1	0.301	0.213	0.13	0.367	0.294	0.386	core
AATF	NOC2L	0.345	0.513	0.038	0.517	0.389	0.37	core
AATF	NOC3L	0.306	0.214	0.053	0.47	0.343	0.305	core
AATF	NOC4L	0.355	0.513	0.174	0.499	0.251	0.39	core
AATF	NOL6	0.416	0.551	0.072	0.57	0.364	0.279	core
AATF	NOL7	0.367	0.53	0.123	0.008	0.134	0.252	core
AATF	NOL8	0.301	0.365	0.207	0.156	0.337	0.259	core
AATF	NOL10	0.466	0.575	0.077	0.602	0.398	0.387	core
AATF	NOL11	0.316	0.532	0.044	0.214	0.053	0.371	core
AATF	NOP2	0.348	0.452	0.089	0.349	0.404	0.363	core
AATF	NOP9	0.317	0.402	0.154	0.371	0.07	0.262	core
AATF	NOP14	0.399	0.421	0.033	0.016	0.203	0.509	core
AATF	NOP16	0.364	0.43	0.106	0.001	0.394	0.365	core
AATF	NOP56	0.398	0.364	0.05	0.56	0.407	0.318	core
AATF	NOP58	0.383	0.404	0.053	0.427	0.368	0.351	core
AATF	NPM1	0.333	0.383	0.227	0.013	0.326	0.398	core
AATF	NUP37	0.302	0.407	0.045	0.136	0.225	0.275	core
AATF	NUP133	0.314	0.448	0.026	0.112	0.219	0.295	core
AATF	ORC5	0.306	0.441	0.024	0.073	0.222	0.32	core
AATF	PA2G4	0.335	0.35	0.113	0.001	0.316	0.451	core
AATF	PABPC1	0.338	0.145	0.114	0.386	0.349	0.349	core
AATF	PAK1IP1	0.338	0.512	0.142	0.352	0.423	0.361	core
AATF	PDCD11	0.374	0.536	0.084	0.096	0.306	0.329	core
AATF	PES1	0.417	0.427	0.214	0.424	0.398	0.483	core
AATF	PINX1	0.311	0.135	0.172	0.373	0.38	0.284	core
AATF	PLRG1	0.305	0.339	0.15	0.015	0.267	0.292	core
AATF	PNO1	0.304	0.399	0.191	0.44	0.116	0.297	core
AATF	POLR1A	0.35	0.433	0.135	0.014	0.273	0.325	core
AATF	POLR1C	0.338	0.489	0.039	0.351	0.21	0.263	core
AATF	POLR1D	0.364	0.432	0.063	0.412	0.28	0.23	core
AATF	POLR1E	0.331	0.44	0.08	0.36	0.26	0.367	core
AATF	POLR2J	0.467	0.103	0.028	0.216	0.464	0.255	core
AATF	PSMA7	0.315	0.155	0.043	0.384	0.275	0.352	core
AATF	PSME3	0.31	0.238	0.079	0.074	0.2	0.393	core
AATF	PUS1	0.301	0.429	0.088	0.391	0.07	0.311	core
AATF	PWP1	0.383	0.232	0.202	0.386	0.426	0.416	core
AATF	PWP2	0.329	0.541	0.161	0.417	0.358	0.311	core
AATF	RAN	0.302	0.32	0.014	0.013	0.291	0.38	core
AATF	RB1	0.425	0.107	0.055	0.0	0.475	0.208	core
AATF	RBM19	0.35	0.489	0.248	0.503	0.25	0.238	core
AATF	RBM28	0.358	0.454	0.051	0.355	0.392	0.251	core
AATF	RIOX2	0.338	0.46	0.033	0.036	0.392	0.263	core
AATF	RPF1	0.371	0.427	0.07	0.371	0.293	0.3	core
AATF	RPF2	0.371	0.395	0.168	0.523	0.162	0.295	core
AATF	RPL3	0.38	0.356	0.002	0.412	0.392	0.154	core
AATF	RPL4	0.335	0.34	0.027	0.384	0.363	0.262	core
AATF	RPL5	0.349	0.305	0.177	0.41	0.365	0.251	core
AATF	RPL6	0.305	0.38	0.038	0.407	0.393	0.272	core
AATF	RPL7A	0.414	0.432	0.025	0.236	0.395	0.24	core
AATF	RPL7L1	0.386	0.438	0.126	0.036	0.37	0.26	core
AATF	RPL8	0.353	0.179	0.003	0.383	0.391	0.259	core
AATF	RPL11	0.308	0.321	0.013	0.39	0.335	0.216	core
AATF	RPL13A	0.32	0.325	0.139	0.101	0.405	0.251	core
AATF	RPL15	0.357	0.169	0.002	0.412	0.421	0.208	core
AATF	RPL18A	0.337	0.303	0.017	0.417	0.378	0.288	core
AATF	RPL26	0.36	0.238	0.048	0.407	0.427	0.287	core
AATF	RPL27	0.303	0.296	0.115	0.383	0.194	0.387	core
AATF	RPL30	0.313	0.292	0.076	0.393	0.384	0.268	core
AATF	RPL32	0.305	0.354	0.064	0.136	0.353	0.301	core
AATF	RPLP0	0.359	0.364	0.014	0.385	0.323	0.252	core
AATF	RPP40	0.305	0.45	0.14	0.011	0.163	0.35	core
AATF	RPS2	0.391	0.344	0.021	0.007	0.437	0.279	core
AATF	RPS3A	0.368	0.303	0.066	0.405	0.429	0.282	core
AATF	RPS4X	0.37	0.304	0.011	0.428	0.255	0.206	core
AATF	RPS5	0.479	0.154	0.12	0.425	0.459	0.268	core
AATF	RPS6	0.332	0.275	0.013	0.39	0.378	0.273	core
AATF	RPS7	0.353	0.389	0.071	0.465	0.372	0.237	core
AATF	RPS8	0.368	0.315	0.04	0.417	0.394	0.307	core
AATF	RPS9	0.367	0.395	0.039	0.003	0.372	0.249	core
AATF	RPS11	0.315	0.235	0.044	0.409	0.298	0.293	core
AATF	RPS12	0.339	0.29	0.023	0.005	0.424	0.242	core
AATF	RPS13	0.366	0.284	0.019	0.391	0.428	0.279	core
AATF	RPS14	0.31	0.224	0.052	0.391	0.375	0.292	core
AATF	RPS15A	0.342	0.23	0.02	0.417	0.411	0.27	core
AATF	RPS18	0.302	0.307	0.104	0.386	0.362	0.242	core
AATF	RPS24	0.393	0.373	0.052	0.441	0.425	0.294	core
AATF	RPS25	0.318	0.395	0.078	0.377	0.389	0.275	core
AATF	RRP1B	0.329	0.392	0.119	0.115	0.383	0.326	core
AATF	RRP8	0.325	0.484	0.069	0.391	0.177	0.258	core
AATF	RRP9	0.356	0.372	0.065	0.463	0.196	0.405	core
AATF	RRP12	0.343	0.427	0.17	0.416	0.383	0.36	core
AATF	RRP15	0.314	0.456	0.161	0.365	0.364	0.259	core
AATF	RRP36	0.337	0.404	0.104	0.392	0.159	0.276	core
AATF	RRS1	0.403	0.463	0.104	0.479	0.302	0.261	core
AATF	RSL1D1	0.348	0.513	0.171	0.536	0.38	0.337	core
AATF	RSL24D1	0.371	0.474	0.067	0.35	0.175	0.268	core
AATF	SEC23A	0.305	0.121	0.022	0.44	0.198	0.164	core
AATF	SEC23B	0.323	0.108	0.019	0.444	0.158	0.152	core
AATF	SENP3	0.32	0.429	0.004	0.117	0.238	0.3	core
AATF	SF3A3	0.313	0.242	0.013	0.135	0.304	0.424	core
AATF	SF3B2	0.33	0.297	0.014	0.076	0.412	0.367	core
AATF	SKIV2L2	0.304	0.414	0.056	0.35	0.232	0.288	core
AATF	SMU1	0.446	0.453	0.013	0.036	0.314	0.44	core
AATF	SNCA	0.339	0.127	0.003	0.12	0.231	0.38	core
AATF	SNW1	0.404	0.418	0.066	0.003	0.315	0.566	core
AATF	SP1	0.421	0.097	0.06	0.072	0.468	0.201	core
AATF	SRP14	0.316	0.314	0.118	0.128	0.418	0.237	core
AATF	SRP68	0.344	0.097	0.181	0.118	0.386	0.417	core
AATF	SSB	0.31	0.371	0.214	0.353	0.355	0.341	core
AATF	SSRP1	0.313	0.324	0.018	0.073	0.249	0.554	core
AATF	SUPT16H	0.3	0.391	0.157	0.078	0.309	0.341	core
AATF	TBL3	0.425	0.518	0.175	0.512	0.16	0.327	core
AATF	TERT	0.313	0.061	0.067	0.011	0.079	0.478	core
AATF	TMSB4X	0.313	0.065	0.012	0.247	0.167	0.258	core
AATF	TNF	0.325	0.006	0.144	0.012	0.152	0.51	core
AATF	TRMT61A	0.322	0.415	0.128	0.421	0.063	0.31	core
AATF	TSR1	0.302	0.414	0.06	0.419	0.409	0.335	core
AATF	TXNL4A	0.304	0.417	0.021	0.079	0.303	0.187	core
AATF	URB2	0.366	0.438	0.071	0.147	0.362	0.342	core
AATF	UTP3	0.379	0.483	0.078	0.37	0.304	0.277	core
AATF	UTP4	0.355	0.566	0.018	0.476	0.103	0.398	core
AATF	UTP6	0.345	0.438	0.141	0.086	0.101	0.391	core
AATF	UTP11	0.312	0.408	0.003	0.482	0.068	0.215	core
AATF	UTP14A	0.409	0.509	0.003	0.4	0.393	0.448	core
AATF	UTP15	0.389	0.555	0.071	0.419	0.176	0.376	core
AATF	UTP18	0.43	0.546	0.136	0.392	0.194	0.403	core
AATF	UTP20	0.364	0.492	0.057	0.422	0.259	0.308	core
AATF	UTP23	0.367	0.389	0.19	0.349	0.428	0.2	core
AATF	WDR3	0.326	0.508	0.206	0.443	0.287	0.319	core
AATF	WDR12	0.359	0.478	0.31	0.002	0.393	0.219	core
AATF	WDR36	0.369	0.559	0.123	0.442	0.409	0.361	core
AATF	WDR43	0.34	0.523	0.018	0.011	0.154	0.379	core
AATF	WDR46	0.351	0.377	0.098	0.502	0.341	0.344	core
AATF	WDR74	0.333	0.426	0.054	0.371	0.068	0.313	core
AATF	WDR75	0.362	0.558	0.047	0.1	0.154	0.264	core
AATF	XPO1	0.319	0.312	0.0	0.469	0.166	0.254	core
AATF	XRCC5	0.309	0.288	0.319	0.075	0.262	0.532	core
AATF	XRCC6	0.319	0.303	0.176	0.01	0.246	0.444	core
AATF	XRN2	0.365	0.198	0.092	0.002	0.415	0.424	core
AATK	PPP1CA	0.361	0.02	0.117	0.036	0.446	0.074	core
ABAT	AGXT2	0.318	0.067	0.078	0.171	0.093	0.421	core
ABAT	AKR1C4	0.386	0.067	0.017	0.11	0.142	0.488	core
ABAT	AKR1D1	0.358	0.004	0.028	0.011	0.138	0.411	core
ABAT	ALDH5A1	0.44	0.253	0.018	0.552	0.143	0.232	core
ABAT	APOC2	0.302	0.058	0.048	0.011	0.08	0.423	core
ABAT	CTSD	0.303	0.098	0.05	0.436	0.198	0.097	core
ABAT	DAO	0.375	0.005	0.08	0.217	0.124	0.461	core
ABAT	FAHD1	0.308	0.394	0.039	0.117	0.163	0.226	core
ABAT	HAO1	0.384	0.052	0.037	0.013	0.143	0.474	core
ABCA1	ABCA2	0.335	0.069	0.118	0.342	0.075	0.12	core
ABCA1	ABCA4	0.351	0.057	0.0	0.342	0.099	0.049	core
ABCA1	ABCA7	0.345	0.069	0.135	0.343	0.076	0.107	core
ABCA1	ABCG1	0.378	0.047	0.097	0.343	0.068	0.237	core
ABCA1	ADIPOQ	0.327	0.065	0.025	0.122	0.097	0.424	core
ABCA1	FADD	0.332	0.088	0.168	0.003	0.448	0.152	core
ABCA1	NR1H2	0.407	0.087	0.035	0.073	0.447	0.209	core
ABCA1	PSMA8	0.329	0.067	0.09	0.103	0.075	0.414	core
ABCA1	SNTB2	0.312	0.095	0.061	0.123	0.453	0.143	core
ABCA2	ABCA3	0.364	0.089	0.05	0.342	0.192	0.119	core
ABCA2	ABCA4	0.339	0.06	0.062	0.342	0.078	0.029	core
ABCA2	ABCA6	0.455	0.055	0.049	0.342	0.098	0.046	core
ABCA2	ABCA8	0.416	0.064	0.062	0.342	0.076	0.07	core
ABCA2	PON2	0.322	0.088	0.054	0.005	0.487	0.077	core
ABCA3	HEATR6	0.463	0.17	0.135	0.343	0.127	0.122	core
ABCA6	ABCA8	0.407	0.061	0.03	0.343	0.09	0.271	core
ABCA6	ABCA9	0.306	0.058	0.28	0.036	0.084	0.467	core
ABCA6	ADIPOQ	0.339	0.003	0.101	0.01	0.071	0.487	core
ABCA6	APOA4	0.302	0.063	0.148	0.002	0.075	0.408	core
ABCA6	FGF10	0.329	0.002	0.074	0.005	0.088	0.457	core
ABCA7	DNAJA4	0.314	0.063	0.025	0.079	0.495	0.102	core
ABCA8	ADIPOQ	0.35	0.16	0.062	0.013	0.077	0.462	core
ABCA8	FGF10	0.353	0.04	0.043	0.005	0.074	0.516	core
ABCA9	FGF10	0.343	0.02	0.046	0.036	0.072	0.461	core
ABCA10	ADIPOQ	0.325	0.02	0.026	0.036	0.072	0.431	core
ABCB1	ABCC1	0.323	0.098	0.014	0.345	0.432	0.073	core
ABCB1	ABCG2	0.349	0.083	0.02	0.342	0.09	0.195	core
ABCB1	APOA4	0.308	0.057	0.001	0.192	0.141	0.445	core
ABCB1	CFTR	0.409	0.062	0.037	0.342	0.08	0.091	core
ABCB1	DHFR	0.371	0.088	0.086	0.343	0.133	0.066	core
ABCB1	KAT2B	0.323	0.126	0.037	0.342	0.146	0.098	core
ABCB1	PIM1	0.351	0.05	0.049	0.109	0.456	0.048	core
ABCB1	TP53	0.415	0.083	0.017	0.343	0.13	0.096	core
ABCB1	YBX1	0.414	0.085	0.085	0.342	0.159	0.098	core
ABCB4	APOC2	0.344	0.006	0.064	0.101	0.093	0.439	core
ABCB4	APOC3	0.311	0.007	0.017	0.096	0.09	0.416	core
ABCB4	CYP8B1	0.311	0.003	0.053	0.008	0.1	0.417	core
ABCB4	DAO	0.306	0.003	0.022	0.07	0.07	0.448	core
ABCB4	KNG1	0.327	0.007	0.029	0.119	0.003	0.485	core
ABCB7	ABCB10	0.323	0.32	0.004	0.531	0.13	0.199	core
ABCB7	ATP5B	0.311	0.242	0.004	0.347	0.176	0.262	core
ABCB7	FDX1	0.327	0.119	0.012	0.348	0.168	0.2	core
ABCB7	FECH	0.409	0.105	0.012	0.007	0.476	0.154	core
ABCB7	GCLC	0.324	0.104	0.011	0.498	0.144	0.21	core
ABCB7	HSPA1A	0.354	0.006	0.012	0.006	0.135	0.467	core
ABCB7	INS	0.363	0.002	0.011	0.075	0.004	0.473	core
ABCB7	MT-ATP6	0.313	0.266	0.003	0.093	0.004	0.282	core
ABCB7	PSMA8	0.303	0.079	0.004	0.083	0.137	0.415	core
ABCB7	SLC25A5	0.307	0.212	0.004	0.346	0.187	0.297	core
ABCB7	SNCA	0.333	0.111	0.004	0.075	0.189	0.424	core
ABCB7	TERT	0.335	0.059	0.012	0.287	0.096	0.478	core
ABCB7	TNF	0.343	0.045	0.012	0.092	0.134	0.511	core
ABCB8	TNF	0.314	0.048	0.042	0.151	0.094	0.485	core
ABCB9	ADIPOQ	0.325	0.068	0.077	0.014	0.031	0.419	core
ABCB10	MT-ATP6	0.354	0.349	0.004	0.011	0.005	0.244	core
ABCB11	ADRA1A	0.319	0.039	0.018	0.098	0.081	0.403	core
ABCC1	ATP5A1	0.453	0.151	0.059	0.015	0.524	0.094	core
ABCC1	BCAT1	0.374	0.17	0.061	0.348	0.148	0.22	core
ABCC1	CSNK2A1	0.401	0.141	0.036	0.109	0.493	0.142	core
ABCC1	EEF1A1	0.445	0.131	0.046	0.004	0.489	0.204	core
ABCC1	IFNG	0.304	0.083	0.078	0.098	0.131	0.408	core
ABCC1	ITGA3	0.509	0.274	0.104	0.096	0.501	0.15	core
ABCC1	ITGB1	0.301	0.366	0.119	0.006	0.398	0.184	core
ABCC1	PSMA8	0.3	0.07	0.114	0.099	0.137	0.423	core
ABCC1	TNF	0.369	0.052	0.019	0.168	0.161	0.436	core
ABCC2	PDZK1	0.352	0.074	0.057	0.014	0.45	0.13	core
ABCC4	ABCC5	0.378	0.082	0.016	0.342	0.178	0.111	core
ABCC4	ATP11C	0.308	0.211	0.004	0.145	0.429	0.168	core
ABCC4	IFNG	0.352	0.055	0.155	0.004	0.122	0.469	core
ABCC4	ITGA1	0.316	0.153	0.021	0.004	0.444	0.1	core
ABCC4	ITGA3	0.358	0.27	0.06	0.195	0.443	0.134	core
ABCC4	OSTM1	0.396	0.179	0.057	0.003	0.478	0.139	core
ABCC4	PDZK1	0.343	0.095	0.043	0.009	0.506	0.042	core
ABCC4	SLC9A3R1	0.309	0.093	0.002	0.0	0.482	0.093	core
ABCC4	SNX27	0.378	0.097	0.019	0.073	0.493	0.106	core
ABCC4	TERT	0.322	0.058	0.07	0.074	0.089	0.375	core
ABCC4	TNF	0.361	0.007	0.017	0.073	0.148	0.436	core
ABCC5	APOA4	0.332	0.06	0.024	0.075	0.123	0.389	core
ABCC6	ABCC11	0.346	0.002	0.037	0.391	0.074	0.119	core
ABCC6	APOA1	0.323	0.006	0.067	0.116	0.071	0.423	core
ABCC6	APOA4	0.347	0.04	0.0	0.116	0.071	0.437	core
ABCC6	APOC2	0.337	0.002	0.018	0.006	0.07	0.468	core
ABCC6	CYP4F2	0.385	0.005	0.035	0.074	0.092	0.473	core
ABCC6	F7	0.32	0.001	0.183	0.105	0.069	0.406	core
ABCC9	FGF10	0.319	0.005	0.154	0.102	0.092	0.491	core
ABCC10	APOA1	0.322	0.092	0.067	0.008	0.11	0.43	core
ABCC11	ABCC12	0.424	0.055	0.176	0.37	0.084	0.144	core
ABCC11	APOC2	0.309	0.055	0.053	0.008	0.089	0.406	core
ABCD1	ABCD2	0.386	0.066	0.011	0.342	0.078	0.051	core
ABCD1	ABCD3	0.564	0.176	0.004	0.342	0.483	0.113	core
ABCD1	PEX19	0.4	0.131	0.012	0.008	0.504	0.122	core
ABCD1	SGPL1	0.31	0.435	0.011	0.008	0.25	0.167	core
ABCD1	SLC27A2	0.404	0.151	0.012	0.091	0.519	0.075	core
ABCD1	SNCA	0.359	0.093	0.004	0.016	0.269	0.421	core
ABCD1	TNF	0.368	0.052	0.003	0.001	0.165	0.466	core
ABCD2	ACSL1	0.371	0.07	0.094	0.348	0.071	0.196	core
ABCD2	ADIPOQ	0.312	0.004	0.028	0.013	0.078	0.411	core
ABCD2	FGF10	0.337	0.004	0.059	0.108	0.096	0.498	core
ABCD2	PEX19	0.352	0.058	0.089	0.078	0.447	0.099	core
ABCD3	ADIPOQ	0.317	0.071	0.019	0.144	0.092	0.356	core
ABCD3	APOA2	0.311	0.076	0.034	0.087	0.141	0.43	core
ABCD3	APOA4	0.358	0.075	0.031	0.008	0.142	0.442	core
ABCD3	ATP2A2	0.421	0.348	0.056	0.009	0.458	0.141	core
ABCD3	HSPA1A	0.421	0.005	0.062	0.133	0.169	0.481	core
ABCD3	HSPA1B	0.378	0.078	0.002	0.082	0.237	0.478	core
ABCD3	PEX19	0.41	0.233	0.016	0.001	0.458	0.174	core
ABCD3	RAB7A	0.371	0.268	0.057	0.075	0.443	0.163	core
ABCD3	SCP2	0.306	0.462	0.14	0.349	0.154	0.285	core
ABCD3	SNCA	0.336	0.087	0.217	0.003	0.192	0.408	core
ABCD3	TERT	0.328	0.07	0.088	0.086	0.071	0.426	core
ABCD3	TMCO1	0.373	0.368	0.045	0.014	0.414	0.211	core
ABCD3	TMED2	0.335	0.371	0.042	0.075	0.423	0.193	core
ABCD3	TNF	0.353	0.038	0.013	0.006	0.129	0.464	core
ABCE1	ANAPC10	0.325	0.224	0.496	0.076	0.17	0.37	core
ABCE1	BYSL	0.329	0.233	0.039	0.353	0.178	0.448	core
ABCE1	C8orf4	0.305	0.0	0.013	0.0	0.071	0.402	core
ABCE1	CIAO1	0.472	0.145	0.05	0.132	0.488	0.254	core
ABCE1	DCAF13	0.307	0.298	0.026	0.002	0.17	0.506	core
ABCE1	DDX18	0.428	0.225	0.121	0.527	0.175	0.528	core
ABCE1	DDX21	0.319	0.347	0.013	0.009	0.175	0.41	core
ABCE1	DHX15	0.356	0.192	0.084	0.456	0.189	0.406	core
ABCE1	DKC1	0.361	0.178	0.003	0.44	0.17	0.501	core
ABCE1	EIF2S1	0.352	0.253	0.083	0.385	0.226	0.563	core
ABCE1	EIF2S2	0.398	0.353	0.038	0.382	0.185	0.465	core
ABCE1	EIF2S3	0.345	0.294	0.011	0.414	0.179	0.323	core
ABCE1	EIF3C	0.36	0.186	0.148	0.515	0.18	0.259	core
ABCE1	EIF3I	0.312	0.132	0.392	0.464	0.187	0.358	core
ABCE1	EIF4G1	0.313	0.198	0.066	0.421	0.187	0.258	core
ABCE1	GART	0.316	0.38	0.121	0.002	0.167	0.464	core
ABCE1	HBA2	0.313	0.02	0.008	0.036	0.233	0.271	core
ABCE1	HNRNPR	0.38	0.162	0.037	0.498	0.19	0.387	core
ABCE1	HSPA1B	0.382	0.067	0.038	0.111	0.177	0.475	core
ABCE1	IARS	0.435	0.337	0.432	0.363	0.166	0.46	core
ABCE1	IFNG	0.321	0.059	0.149	0.129	0.077	0.433	core
ABCE1	LARS	0.337	0.354	0.427	0.35	0.166	0.268	core
ABCE1	LIN28A	0.319	0.079	0.019	0.142	0.169	0.416	core
ABCE1	LSM6	0.379	0.334	0.458	0.002	0.216	0.333	core
ABCE1	LTV1	0.315	0.351	0.304	0.288	0.067	0.461	core
ABCE1	MAD2L1	0.33	0.321	0.44	0.249	0.187	0.315	core
ABCE1	MAK16	0.316	0.249	0.001	0.166	0.066	0.589	core
ABCE1	MMS19	0.445	0.216	0.058	0.082	0.46	0.261	core
ABCE1	NAA10	0.321	0.463	0.012	0.002	0.184	0.295	core
ABCE1	NAA15	0.63	0.529	0.137	0.093	0.193	0.553	core
ABCE1	NIP7	0.343	0.303	0.396	0.35	0.174	0.498	core
ABCE1	NOC3L	0.336	0.328	0.002	0.104	0.176	0.49	core
ABCE1	NOL11	0.317	0.28	0.386	0.188	0.044	0.364	core
